address,system,unit,ladder,half-ladder,module,sensor,side,channel,time
268731410,2,1,1,1,4,0,0,2023,155
268731410,2,1,1,1,4,0,0,22,157
268731410,2,1,1,1,4,0,0,2025,159
268501106,2,7,0,0,1,0,0,1348,161
268633122,2,2,1,0,3,0,0,955,161
268664850,2,1,0,1,3,0,0,707,161
268698722,2,6,1,0,4,0,0,1039,161
268539010,2,8,5,1,1,0,0,1944,162
268568626,2,3,2,0,2,0,0,1160,162
268731410,2,1,1,1,4,0,0,20,162
268535938,2,8,2,1,1,0,0,385,163
268567698,2,9,1,0,2,0,0,870,163
268633122,2,2,1,0,3,0,0,1868,163
268665890,2,2,1,1,3,0,0,964,163
268665890,2,2,1,1,3,0,0,1982,163
268435474,2,1,0,0,0,0,0,811,164
268539010,2,8,5,1,1,0,0,975,164
268567698,2,9,1,0,2,0,0,871,164
268567794,2,15,1,0,2,0,0,60,164
268731410,2,1,1,1,4,0,0,17,164
268731410,2,1,1,1,4,0,0,2024,164
268731410,2,1,1,1,4,0,0,2026,164
268473410,2,4,5,1,0,0,0,228,165
268538098,2,15,4,1,1,0,0,1681,165
268568850,2,17,2,0,2,0,0,368,165
268570802,2,11,4,0,2,0,0,237,165
268599330,2,2,0,1,2,0,0,1826,165
268633122,2,2,1,0,3,0,0,1869,165
268665890,2,2,1,1,3,0,0,1983,165
268698722,2,6,1,0,4,0,0,1038,165
268435474,2,1,0,0,0,0,0,1814,166
268473410,2,4,5,1,0,0,0,227,166
268473410,2,4,5,1,0,0,0,1246,166
268501106,2,7,0,0,1,0,0,340,166
268535970,2,10,2,1,1,0,0,1016,166
268535970,2,10,2,1,1,0,0,1988,166
268568626,2,3,2,0,2,0,0,1159,166
268571794,2,9,5,0,2,0,0,645,166
268665890,2,2,1,1,3,0,0,962,166
268665890,2,2,1,1,3,0,0,963,166
268731410,2,1,1,1,4,0,0,2028,166
268435474,2,1,0,0,0,0,0,809,167
268535938,2,8,2,1,1,0,0,1338,167
268536066,2,16,2,1,1,0,0,1654,167
268539010,2,8,5,1,1,0,0,976,167
268567698,2,9,1,0,2,0,0,1827,167
268567794,2,15,1,0,2,0,0,58,167
268571794,2,9,5,0,2,0,0,647,167
268571794,2,9,5,0,2,0,0,1587,167
268664850,2,1,0,1,3,0,0,706,167
268664850,2,1,0,1,3,0,0,1722,167
268731410,2,1,1,1,4,0,0,21,167
268731410,2,1,1,1,4,0,0,2027,167
268473410,2,4,5,1,0,0,0,229,168
268540066,2,10,6,1,1,0,0,1356,168
268570802,2,11,4,0,2,0,0,1027,168
268571794,2,9,5,0,2,0,0,1586,168
268601570,2,14,2,1,2,0,0,1946,168
268731410,2,1,1,1,4,0,0,18,168
268501106,2,7,0,0,1,0,0,1349,169
268536066,2,16,2,1,1,0,0,679,169
268540066,2,10,6,1,1,0,0,370,169
268567794,2,15,1,0,2,0,0,2000,169
268568626,2,3,2,0,2,0,0,182,169
268570802,2,11,4,0,2,0,0,238,169
268599330,2,2,0,1,2,0,0,860,169
268601570,2,14,2,1,2,0,0,143,169
268536066,2,16,2,1,1,0,0,680,170
268538098,2,15,4,1,1,0,0,757,170
268570802,2,11,4,0,2,0,0,1025,170
268570802,2,11,4,0,2,0,0,1026,170
268599330,2,2,0,1,2,0,0,857,170
268599330,2,2,0,1,2,0,0,859,170
268599330,2,2,0,1,2,0,0,1824,170
268501106,2,7,0,0,1,0,0,341,171
268535970,2,10,2,1,1,0,0,1987,171
268540066,2,10,6,1,1,0,0,371,171
268540066,2,10,6,1,1,0,0,1355,171
268567794,2,15,1,0,2,0,0,59,171
268568626,2,3,2,0,2,0,0,180,171
268568626,2,3,2,0,2,0,0,181,171
268633122,2,2,1,0,3,0,0,1867,171
268698722,2,6,1,0,4,0,0,81,171
268731410,2,1,1,1,4,0,0,2029,171
268535938,2,8,2,1,1,0,0,1337,172
268538098,2,15,4,1,1,0,0,759,172
268538098,2,15,4,1,1,0,0,1682,172
268567698,2,9,1,0,2,0,0,1826,172
268568850,2,17,2,0,2,0,0,369,172
268601570,2,14,2,1,2,0,0,142,172
268601570,2,14,2,1,2,0,0,1945,172
268633122,2,2,1,0,3,0,0,956,172
268731410,2,1,1,1,4,0,0,19,172
268435474,2,1,0,0,0,0,0,1813,173
268501106,2,7,0,0,1,0,0,339,173
268538098,2,15,4,1,1,0,0,758,173
268473410,2,4,5,1,0,0,0,1247,174
268535938,2,8,2,1,1,0,0,384,174
268536066,2,16,2,1,1,0,0,1655,174
268568850,2,17,2,0,2,0,0,370,174
268571794,2,9,5,0,2,0,0,646,174
268599330,2,2,0,1,2,0,0,1825,174
268698722,2,6,1,0,4,0,0,80,174
268435474,2,1,0,0,0,0,0,810,175
268535970,2,10,2,1,1,0,0,1017,175
268535970,2,10,2,1,1,0,0,1018,176
268599330,2,2,0,1,2,0,0,858,176
