address,system,unit,ladder,half-ladder,module,sensor,side,channel,time,charge
268700706,2,2,3,0,4,0,0,1212,84,6
268505122,2,2,4,0,1,0,0,1401,85,6
268503090,2,3,2,0,1,0,0,1454,86,11
268599346,2,3,0,1,2,0,0,1334,86,1
268436530,2,3,1,0,0,0,0,520,87,1
268442770,2,9,7,0,0,0,0,1044,87,6
268502050,2,2,1,0,1,0,0,1817,87,1
268535858,2,3,2,1,1,0,0,872,87,8
268566530,2,0,0,0,2,0,0,987,87,9
268570834,2,13,4,0,2,0,0,1557,87,4
268599506,2,13,0,1,2,0,0,1026,87,10
268664850,2,1,0,1,3,0,0,1460,87,9
268671138,2,10,6,1,3,0,0,1499,87,4
268468402,2,11,0,1,0,0,0,1739,88,8
268504322,2,16,3,0,1,0,0,894,88,7
268534818,2,2,1,1,1,0,0,1372,88,11
268570658,2,2,4,0,2,0,0,1677,88,31
268599442,2,9,0,1,2,0,0,1532,88,7
268637266,2,5,5,0,3,0,0,1996,88,7
268435474,2,1,0,0,0,0,0,1640,89,2
268437538,2,2,2,0,0,0,0,1623,89,1
268438610,2,5,3,0,0,0,0,512,89,3
268468434,2,13,0,1,0,0,0,941,89,3
268470370,2,6,2,1,0,0,0,388,89,13
268473474,2,8,5,1,0,0,0,25,89,1
268473522,2,11,5,1,0,0,0,1974,89,25
268501042,2,3,0,0,1,0,0,1932,89,7
268505330,2,15,4,0,1,0,0,119,89,1
268566770,2,15,0,0,2,0,0,1870,89,9
268568626,2,3,2,0,2,0,0,1631,89,5
268568770,2,12,2,0,2,0,0,1364,89,5
268569682,2,5,3,0,2,0,0,305,89,7
268570690,2,4,4,0,2,0,0,1787,89,2
268571778,2,8,5,0,2,0,0,1699,89,7
268635218,2,5,3,0,3,0,0,1713,89,10
268666130,2,17,1,1,3,0,0,57,89,0
268666978,2,6,2,1,3,0,0,346,89,3
268697842,2,15,0,0,4,0,0,1681,89,12
268436498,2,1,1,0,0,0,0,1854,90,1
268437554,2,3,2,0,0,0,0,1035,90,1
268437618,2,7,2,0,0,0,0,436,90,1
268438706,2,11,3,0,0,0,0,177,90,4
268439586,2,2,4,0,0,0,0,909,90,9
268469282,2,2,1,1,0,0,0,569,90,4
268469378,2,8,1,1,0,0,0,1928,90,0
268470338,2,4,2,1,0,0,0,1835,90,4
268472514,2,12,4,1,0,0,0,1352,90,2
268473522,2,11,5,1,0,0,0,1241,90,3
268501042,2,3,0,0,1,0,0,752,90,1
268501106,2,7,0,0,1,0,0,18,90,3
268502162,2,9,1,0,1,0,0,1547,90,5
268503186,2,9,2,0,1,0,0,1646,90,14
268533810,2,3,0,1,1,0,0,1626,90,3
268533922,2,10,0,1,1,0,0,115,90,1
268534914,2,8,1,1,1,0,0,1446,90,2
268537970,2,7,4,1,1,0,0,584,90,6
268539058,2,11,5,1,1,0,0,1623,90,3
268540114,2,13,6,1,1,0,0,250,90,12
268566674,2,9,0,0,2,0,0,138,90,12
268567602,2,3,1,0,2,0,0,894,90,1
268569682,2,5,3,0,2,0,0,1543,90,0
268570658,2,2,4,0,2,0,0,1693,90,9
268601442,2,6,2,1,2,0,0,1903,90,3
268633250,2,10,1,0,3,0,0,708,90,1
268634162,2,3,2,0,3,0,0,633,90,2
268665858,2,0,1,1,3,0,0,879,90,0
268666930,2,3,2,1,3,0,0,1161,90,5
268670050,2,6,5,1,3,0,0,361,90,2
268697650,2,3,0,0,4,0,0,726,90,3
268435698,2,15,0,0,0,0,0,592,91,7
268435698,2,15,0,0,0,0,0,1585,91,4
268438690,2,10,3,0,0,0,0,916,91,7
268440642,2,4,5,0,0,0,0,1906,91,6
268468338,2,7,0,1,0,0,0,185,91,7
268468338,2,7,0,1,0,0,0,1218,91,2
268468370,2,9,0,1,0,0,0,324,91,6
268470354,2,5,2,1,0,0,0,1085,91,0
268470402,2,8,2,1,0,0,0,125,91,0
268470434,2,10,2,1,0,0,0,1445,91,3
268471410,2,7,3,1,0,0,0,1934,91,7
268471442,2,9,3,1,0,0,0,1745,91,3
268471474,2,11,3,1,0,0,0,1580,91,1
268473538,2,12,5,1,0,0,0,87,91,0
268501106,2,7,0,0,1,0,0,824,91,3
268502130,2,7,1,0,1,0,0,1434,91,5
268502162,2,9,1,0,1,0,0,1548,91,1
268502162,2,9,1,0,1,0,0,1935,91,2
268505122,2,2,4,0,1,0,0,110,91,5
268507330,2,12,6,0,1,0,0,1170,91,1
268533874,2,7,0,1,1,0,0,1044,91,6
268534882,2,6,1,1,1,0,0,1463,91,10
268534898,2,7,1,1,1,0,0,862,91,3
268538002,2,9,4,1,1,0,0,553,91,31
268538066,2,13,4,1,1,0,0,470,91,9
268539010,2,8,5,1,1,0,0,178,91,3
268566610,2,5,0,0,2,0,0,1369,91,6
268567554,2,0,1,0,2,0,0,28,91,4
268567586,2,2,1,0,2,0,0,1967,91,3
268567698,2,9,1,0,2,0,0,1296,91,7
268567762,2,13,1,0,2,0,0,1398,91,4
268568626,2,3,2,0,2,0,0,485,91,4
268568626,2,3,2,0,2,0,0,1244,91,9
268569634,2,2,3,0,2,0,0,1230,91,1
268569682,2,5,3,0,2,0,0,548,91,7
268569714,2,7,3,0,2,0,0,711,91,3
268570658,2,2,4,0,2,0,0,1679,91,31
268570706,2,5,4,0,2,0,0,1406,91,3
268571842,2,12,5,0,2,0,0,1336,91,4
268599442,2,9,0,1,2,0,0,996,91,19
268602402,2,2,3,1,2,0,0,1019,91,1
268602594,2,14,3,1,2,0,0,697,91,1
268603618,2,14,4,1,2,0,0,1952,91,5
268605602,2,10,6,1,2,0,0,505,91,7
268632114,2,3,0,0,3,0,0,873,91,1
268633266,2,11,1,0,3,0,0,1218,91,2
268636290,2,8,4,0,3,0,0,148,91,0
268637330,2,9,5,0,3,0,0,862,91,7
268638306,2,6,6,0,3,0,0,548,91,3
268664834,2,0,0,1,3,0,0,424,91,0
268670082,2,8,5,1,3,0,0,1565,91,2
268435538,2,5,0,0,0,0,0,238,92,31
268435538,2,5,0,0,0,0,0,239,92,31
268435602,2,9,0,0,0,0,0,363,92,5
268435698,2,15,0,0,0,0,0,1577,92,9
268436514,2,2,1,0,0,0,0,2021,92,2
268437602,2,6,2,0,0,0,0,1559,92,2
268438786,2,16,3,0,0,0,0,1372,92,8
268439586,2,2,4,0,0,0,0,1797,92,5
268439666,2,7,4,0,0,0,0,534,92,4
268439794,2,15,4,0,0,0,0,355,92,1
268440642,2,4,5,0,0,0,0,565,92,6
268440658,2,5,5,0,0,0,0,1451,92,2
268441698,2,6,6,0,0,0,0,1949,92,0
268468274,2,3,0,1,0,0,0,1040,92,5
268468338,2,7,0,1,0,0,0,1796,92,0
268468466,2,15,0,1,0,0,0,1705,92,4
268469250,2,0,1,1,0,0,0,1097,92,4
268469282,2,2,1,1,0,0,0,1897,92,0
268470306,2,2,2,1,0,0,0,365,92,1
268470306,2,2,2,1,0,0,0,366,92,0
268471442,2,9,3,1,0,0,0,736,92,4
268472354,2,2,4,1,0,0,0,1962,92,1
268472498,2,11,4,1,0,0,0,2042,92,31
268472530,2,13,4,1,0,0,0,117,92,8
268501010,2,1,0,0,1,0,0,1573,92,8
268501042,2,3,0,0,1,0,0,780,92,4
268501042,2,3,0,0,1,0,0,1798,92,4
268501074,2,5,0,0,1,0,0,713,92,1
268505122,2,2,4,0,1,0,0,1845,92,31
268506178,2,4,5,0,1,0,0,118,92,8
268506210,2,6,5,0,1,0,0,1459,92,5
268506242,2,8,5,0,1,0,0,845,92,8
268506258,2,9,5,0,1,0,0,912,92,12
268533794,2,2,0,1,1,0,0,678,92,0
268533810,2,3,0,1,1,0,0,1624,92,1
268533810,2,3,0,1,1,0,0,1955,92,1
268533906,2,9,0,1,1,0,0,2031,92,19
268534786,2,0,1,1,1,0,0,939,92,3
268534818,2,2,1,1,1,0,0,1943,92,10
268534914,2,8,1,1,1,0,0,466,92,1
268536994,2,10,3,1,1,0,0,830,92,0
268567554,2,0,1,0,2,0,0,29,92,2
268567554,2,0,1,0,2,0,0,1736,92,1
268568626,2,3,2,0,2,0,0,557,92,4
268568626,2,3,2,0,2,0,0,1432,92,9
268568770,2,12,2,0,2,0,0,1365,92,1
268570690,2,4,4,0,2,0,0,1322,92,3
268570834,2,13,4,0,2,0,0,880,92,6
268599378,2,5,0,1,2,0,0,337,92,8
268599394,2,6,0,1,2,0,0,1216,92,1
268599442,2,9,0,1,2,0,0,995,92,0
268599538,2,15,0,1,2,0,0,1917,92,1
268600386,2,4,1,1,2,0,0,1897,92,4
268600562,2,15,1,1,2,0,0,1121,92,4
268601394,2,3,2,1,2,0,0,1983,92,0
268601442,2,6,2,1,2,0,0,1445,92,9
268602402,2,2,3,1,2,0,0,1966,92,3
268603522,2,8,4,1,2,0,0,1597,92,0
268604514,2,6,5,1,2,0,0,352,92,2
268632082,2,1,0,0,3,0,0,270,92,0
268633298,2,13,1,0,3,0,0,173,92,0
268634386,2,17,2,0,3,0,0,232,92,13
268664834,2,0,0,1,3,0,0,1369,92,2
268664834,2,0,0,1,3,0,0,1446,92,0
268664866,2,2,0,1,3,0,0,1474,92,0
268666978,2,6,2,1,3,0,0,1357,92,0
268668962,2,2,4,1,3,0,0,929,92,3
268669138,2,13,4,1,3,0,0,1822,92,1
268670082,2,8,5,1,3,0,0,2041,92,6
268700706,2,2,3,0,4,0,0,1211,92,11
268730482,2,7,0,1,4,0,0,1191,92,3
268731506,2,7,1,1,4,0,0,745,92,0
268435474,2,1,0,0,0,0,0,650,93,1
268435506,2,3,0,0,0,0,0,497,93,6
268435538,2,5,0,0,0,0,0,1736,93,7
268436530,2,3,1,0,0,0,0,521,93,2
268436530,2,3,1,0,0,0,0,1508,93,2
268437602,2,6,2,0,0,0,0,1030,93,2
268437618,2,7,2,0,0,0,0,874,93,2
268437618,2,7,2,0,0,0,0,1845,93,3
268437698,2,12,2,0,0,0,0,700,93,10
268438706,2,11,3,0,0,0,0,304,93,5
268438754,2,14,3,0,0,0,0,168,93,14
268438754,2,14,3,0,0,0,0,1379,93,0
268439586,2,2,4,0,0,0,0,1983,93,0
268439746,2,12,4,0,0,0,0,1441,93,3
268439794,2,15,4,0,0,0,0,782,93,8
268440706,2,8,5,0,0,0,0,294,93,9
268440706,2,8,5,0,0,0,0,534,93,7
268440754,2,11,5,0,0,0,0,1260,93,4
268441698,2,6,6,0,0,0,0,1587,93,18
268441698,2,6,6,0,0,0,0,1942,93,0
268441746,2,9,6,0,0,0,0,1373,93,2
268442834,2,13,7,0,0,0,0,312,93,0
268468258,2,2,0,1,0,0,0,854,93,1
268468258,2,2,0,1,0,0,0,1009,93,1
268468258,2,2,0,1,0,0,0,1837,93,1
268468402,2,11,0,1,0,0,0,1278,93,9
268469378,2,8,1,1,0,0,0,988,93,0
268470370,2,6,2,1,0,0,0,395,93,1
268471474,2,11,3,1,0,0,0,610,93,2
268472354,2,2,4,1,0,0,0,970,93,1
268473442,2,6,5,1,0,0,0,935,93,1
268473442,2,6,5,1,0,0,0,1877,93,4
268473522,2,11,5,1,0,0,0,295,93,3
268473522,2,11,5,1,0,0,0,1006,93,31
268475538,2,9,7,1,0,0,0,1786,93,1
268501010,2,1,0,0,1,0,0,394,93,1
268502162,2,9,1,0,1,0,0,925,93,31
268503090,2,3,2,0,1,0,0,1056,93,31
268503090,2,3,2,0,1,0,0,1105,93,0
268505122,2,2,4,0,1,0,0,1175,93,22
268505170,2,5,4,0,1,0,0,164,93,4
268533778,2,1,0,1,1,0,0,735,93,7
268534002,2,15,0,1,1,0,0,1040,93,0
268534786,2,0,1,1,1,0,0,366,93,6
268534818,2,2,1,1,1,0,0,222,93,3
268534882,2,6,1,1,1,0,0,442,93,7
268534914,2,8,1,1,1,0,0,1445,93,1
268536002,2,12,2,1,1,0,0,743,93,31
268536866,2,2,3,1,1,0,0,565,93,2
268537890,2,2,4,1,1,0,0,108,93,0
268537890,2,2,4,1,1,0,0,1222,93,2
268540114,2,13,6,1,1,0,0,1205,93,10
268566578,2,3,0,0,2,0,0,1691,93,9
